team_name,league_name,season,win_rate
SD Eibar,Spain LIGA BBVA,2015/2016,0.29
Valencia CF,Spain LIGA BBVA,2015/2016,0.29
Granada CF,Spain LIGA BBVA,2015/2016,0.26
Real Sporting de Gijón,Spain LIGA BBVA,2015/2016,0.26
Getafe CF,Spain LIGA BBVA,2015/2016,0.24
Rayo Vallecano,Spain LIGA BBVA,2015/2016,0.24
Levante UD,Spain LIGA BBVA,2015/2016,0.21
RC Deportivo de La Coruña,Spain LIGA BBVA,2015/2016,0.21
FC Zürich,Switzerland Super League,2008/2009,0.67
BSC Young Boys,Switzerland Super League,2008/2009,0.61
FC Basel,Switzerland Super League,2008/2009,0.61
Grasshopper Club Zürich,Switzerland Super League,2008/2009,0.33
AC Bellinzona,Switzerland Super League,2008/2009,0.31
FC Aarau,Switzerland Super League,2008/2009,0.31
Neuchâtel Xamax,Switzerland Super League,2008/2009,0.28
FC Luzern,Switzerland Super League,2008/2009,0.25
FC Sion,Switzerland Super League,2008/2009,0.25
FC Vaduz,Switzerland Super League,2008/2009,0.14
BSC Young Boys,Switzerland Super League,2009/2010,0.69
FC Basel,Switzerland Super League,2009/2010,0.69
Grasshopper Club Zürich,Switzerland Super League,2009/2010,0.58
FC Luzern,Switzerland Super League,2009/2010,0.47
FC Sion,Switzerland Super League,2009/2010,0.39
FC St. Gallen,Switzerland Super League,2009/2010,0.36
FC Zürich,Switzerland Super League,2009/2010,0.33
Neuchâtel Xamax,Switzerland Super League,2009/2010,0.31
AC Bellinzona,Switzerland Super League,2009/2010,0.19
FC Aarau,Switzerland Super League,2009/2010,0.17
FC Basel,Switzerland Super League,2010/2011,0.58
FC Zürich,Switzerland Super League,2010/2011,0.58
BSC Young Boys,Switzerland Super League,2010/2011,0.42
FC Sion,Switzerland Super League,2010/2011,0.42
FC Luzern,Switzerland Super League,2010/2011,0.36
FC Thun,Switzerland Super League,2010/2011,0.31
Grasshopper Club Zürich,Switzerland Super League,2010/2011,0.28
FC St. Gallen,Switzerland Super League,2010/2011,0.22
Neuchâtel Xamax,Switzerland Super League,2010/2011,0.22
AC Bellinzona,Switzerland Super League,2010/2011,0.19
FC Basel,Switzerland Super League,2011/2012,0.65
FC Sion,Switzerland Super League,2011/2012,0.44
FC Luzern,Switzerland Super League,2011/2012,0.41
Servette FC,Switzerland Super League,2011/2012,0.41
Neuchâtel Xamax,Switzerland Super League,2011/2012,0.39
BSC Young Boys,Switzerland Super League,2011/2012,0.38
FC Thun,Switzerland Super League,2011/2012,0.32
FC Zürich,Switzerland Super League,2011/2012,0.32
FC Lausanne-Sports,Switzerland Super League,2011/2012,0.24
Grasshopper Club Zürich,Switzerland Super League,2011/2012,0.21
FC Basel,Switzerland Super League,2012/2013,0.58
Grasshopper Club Zürich,Switzerland Super League,2012/2013,0.56
FC St. Gallen,Switzerland Super League,2012/2013,0.47
FC Zürich,Switzerland Super League,2012/2013,0.44
FC Sion,Switzerland Super League,2012/2013,0.36
FC Thun,Switzerland Super League,2012/2013,0.36
BSC Young Boys,Switzerland Super League,2012/2013,0.31
FC Luzern,Switzerland Super League,2012/2013,0.28
FC Lausanne-Sports,Switzerland Super League,2012/2013,0.22
Servette FC,Switzerland Super League,2012/2013,0.17
FC Basel,Switzerland Super League,2013/2014,0.53
Grasshopper Club Zürich,Switzerland Super League,2013/2014,0.53
BSC Young Boys,Switzerland Super League,2013/2014,0.47
FC Luzern,Switzerland Super League,2013/2014,0.42
FC Zürich,Switzerland Super League,2013/2014,0.39
FC Thun,Switzerland Super League,2013/2014,0.36
FC Aarau,Switzerland Super League,2013/2014,0.33
FC Sion,Switzerland Super League,2013/2014,0.33
FC St. Gallen,Switzerland Super League,2013/2014,0.31
FC Lausanne-Sports,Switzerland Super League,2013/2014,0.19
FC Basel,Switzerland Super League,2014/2015,0.67
BSC Young Boys,Switzerland Super League,2014/2015,0.53
FC Zürich,Switzerland Super League,2014/2015,0.42
FC St. Gallen,Switzerland Super League,2014/2015,0.36
FC Thun,Switzerland Super League,2014/2015,0.36
FC Luzern,Switzerland Super League,2014/2015,0.33
FC Sion,Switzerland Super League,2014/2015,0.33
Grasshopper Club Zürich,Switzerland Super League,2014/2015,0.31
FC Vaduz,Switzerland Super League,2014/2015,0.19
FC Aarau,Switzerland Super League,2014/2015,0.17
FC Basel,Switzerland Super League,2015/2016,0.72
BSC Young Boys,Switzerland Super League,2015/2016,0.56
FC Luzern,Switzerland Super League,2015/2016,0.42
Grasshopper Club Zürich,Switzerland Super League,2015/2016,0.42
FC Sion,Switzerland Super League,2015/2016,0.39
FC St. Gallen,Switzerland Super League,2015/2016,0.28
FC Thun,Switzerland Super League,2015/2016,0.28
Lugano,Switzerland Super League,2015/2016,0.25
FC Vaduz,Switzerland Super League,2015/2016,0.19
FC Zürich,Switzerland Super League,2015/2016,0.19
